"","PROBEID","SYMBOL","ENTREZID"
"330","241809_at","INKA2","55924"
"331","241809_at","LOC101928718","101928718"
"332","215617_at","SPATS2L","26010"
"334","201286_at","SDC1","6382"
"335","236038_at","RNF150","57484"
"338","201988_s_at","CREBL2","1389"
"339","219230_at","TMEM100","55273"
"340","211922_s_at","CAT","847"
"341","223859_at","EPB41L4B","54566"
"342","204389_at","MAOA","4128"
"343","1556427_s_at","LRRN4CL","221091"
"345","204134_at","PDE2A","5138"
"346","204042_at","WASF3","10810"
"347","203228_at","PAFAH1B3","5050"
"349","214846_s_at","ALPK3","57538"
"351","224458_at","PGAP4","84302"
"354","238549_at","CBFA2T2","9139"
"355","208609_s_at","TNXB","7148"
"356","212224_at","ALDH1A1","216"
"359","203649_s_at","PLA2G2A","5320"
"360","217232_x_at","HBB","3043"
"361","206538_at","MRAS","22808"
"362","230715_at","ZNF518B","85460"
"364","228186_s_at","RSPO3","84870"
"365","241698_at","RFTN2","130132"
"366","223836_at","FGFBP2","83888"
"367","219576_at","MAP7D3","79649"
"369","207071_s_at","ACO1","48"
"370","216048_s_at","RHOBTB3","22836"
"372","238458_at","MICU3","286097"
"373","222513_s_at","SORBS1","10580"
"374","228191_at","FLVCR1","28982"
"376","220032_at","CPED1","79974"
"377","206848_at","HOXA7","3204"
"378","206848_at","COX20","116228"
"379","238488_at","LRRC70","100130733"
"380","238488_at","IPO11","51194"
"383","209086_x_at","MCAM","4162"
"384","204422_s_at","FGF2","2247"
"386","230353_at","MIR497HG","100506755"
"387","205200_at","CLEC3B","7123"
"388","205200_at","EXOSC7","23016"
"390","201839_s_at","EPCAM","4072"
"393","243357_at","NEGR1","257194"
"394","207092_at","LEP","3952"
"395","204848_x_at","HBG1","3047"
"397","203337_x_at","ITGB1BP1","9270"
"398","203713_s_at","LLGL2","3993"
"399","205978_at","KL","9365"
"400","207977_s_at","DPT","1805"
"401","226448_at","FAM89A","375061"
"402","218631_at","AVPI1","60370"
"403","235798_at","TMEM170B","100113407"
"404","204254_s_at","VDR","7421"
"405","223316_at","CCDC3","83643"
"406","228233_at","FREM1","158326"
"410","228855_at","NUDT7","283927"
"412","214066_x_at","NPR2","4882"
"414","209576_at","GNAI1","2770"
"415","219388_at","GRHL2","79977"
"416","238593_at","TOP6BL","79703"
"417","218816_at","LRRC1","55227"
"418","213486_at","COPG2IT1","53844"
"419","205220_at","HCAR3","8843"
"420","231411_at","LHFPL6","10186"
"421","1552721_a_at","FGF1","2246"
