"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"238969_at",-3.13219749919513,2.85296086212397,-16.2910926892346,3.40014153551871e-32,2.35319922094285e-29,62.6764437856925
"230115_at",-2.27143004910859,2.80134427436364,-16.2596051487601,3.9917620803076e-32,2.72811989676022e-29,62.5180776734667
"210832_x_at",-3.35017163080317,3.40954555440496,-16.2139391064616,5.03842336183715e-32,3.40026315555179e-29,62.2881834307208
"238919_at",-3.58457017230487,2.99541284198347,-16.2115729539119,5.09961735263369e-32,3.40026315555179e-29,62.2762646207505
"219937_at",-2.74204815089649,2.78642084964463,-16.1901442944271,5.688955959689e-32,3.74751406139754e-29,62.1682925371001
"218864_at",-3.13465562374604,4.08277846456198,-16.1464257312212,7.11222217058475e-32,4.62929460924668e-29,61.9478336564399
"206955_at",-4.40711327499321,5.06699047757851,-16.1302716903777,7.72434871457532e-32,4.96857371728712e-29,61.8663145417481
"208591_s_at",-2.14193892546889,2.62210221545455,-16.0748361777608,1.02568200628577e-31,6.52083298763659e-29,61.5863237693051
"237248_at",-3.66184467429695,3.02947032979339,-16.0654141298811,1.07636542773319e-31,6.76439997256463e-29,61.538697998093
"219738_s_at",-3.61917518253959,3.02441831539669,-16.0090133263157,1.4369612776382e-31,8.92793839259871e-29,61.2533813991946
"209818_s_at",-1.6065738691233,4.55784019416529,-15.9763172304525,1.69928028815725e-31,1.04391179499997e-28,61.0878031426229
"231380_at",-2.73737294809163,2.83592571942149,-15.9515542579878,1.92953654615799e-31,1.17219345179098e-28,60.9623130274296
"1558421_a_at",-5.33584988957523,3.51003232935537,-15.8888981445974,2.66214484557286e-31,1.59948098276589e-28,60.6444616810443
"205108_s_at",-2.79185538841063,2.75411635042149,-15.8020274284688,4.16256993704503e-31,2.47378816639062e-28,60.2029865198838
"206208_at",-2.6123859994655,3.13531574218182,-15.7880050269121,4.47438475035995e-31,2.63050522823581e-28,60.1316398545393
"239523_at",-5.20868806962726,4.1405002467686,-15.7778688432316,4.7142957931219e-31,2.74206513286106e-28,60.08005176142
"223704_s_at",-2.09928456961991,2.65331145691736,-15.7592510461332,5.1891313905547e-31,2.98648167135345e-28,59.9852644159862
"229011_at",-3.40303596458032,4.1515169914876,-15.7438789412311,5.61720028477011e-31,3.19917109968548e-28,59.9069703212956
"205824_at",-3.5558837107681,4.39598856580165,-15.7230929678957,6.25299799901464e-31,3.510305034033e-28,59.8010570481477
"233496_s_at",-2.55408555863348,2.94201840822314,-15.7218908550095,6.29190477064899e-31,3.510305034033e-28,59.7949301981601
"232187_at",-2.25163505764706,2.71991942332231,-15.7106508871038,6.66766316905135e-31,3.6823685229079e-28,59.7376347182924
"203641_s_at",-2.64180715328846,2.76215657019008,-15.6703496151808,8.21014761467554e-31,4.48027996924654e-28,59.5320760433084
"235849_at",-5.47416680781957,4.11153101727273,-15.6687955159591,8.27632879549887e-31,4.48027996924654e-28,59.5241454079629
"229015_at",-2.18492963869117,2.76597782585124,-15.6542383809329,8.92285737866931e-31,4.78291399194847e-28,59.4498457727974
"241765_at",-3.08434904654016,3.34915773984298,-15.6289894646599,1.01668813598266e-30,5.39683726551963e-28,59.320915565298
"239398_at",-4.76688465683541,3.78209044752066,-15.6212187901032,1.05837445538039e-30,5.56409839883875e-28,59.2812204323273
"219902_at",-3.99113931335294,3.51121362821488,-15.6148876985678,1.0936040861463e-30,5.69455270571895e-28,59.2488738654593
"236927_at",-1.06392668665611,2.51785049454545,-15.6033961434078,1.16058608548233e-30,5.95374459676557e-28,59.1901495258904
"243311_at",-5.32651497691403,3.44833421547934,-15.6026360732475,1.16515897915668e-30,5.95374459676557e-28,59.186264851136
"212705_x_at",-2.00881218825396,4.80976439402479,-15.4808096180401,2.19024917654676e-30,1.10881364562679e-27,58.5627357088484
"236936_at",-2.64828451776866,2.79230583712397,-15.4710236634376,2.30432556516099e-30,1.15586238784566e-27,58.5125737544418
"227058_at",-3.06230580722794,5.2180542128843,-15.4353515072447,2.77308161333749e-30,1.37714868840144e-27,58.329626470567
"1570454_at",-1.97501773906844,2.60541992609917,-15.433776391656,2.79585741952556e-30,1.37714868840144e-27,58.3215449449424
"1552616_a_at",-3.2490044024638,2.88270734256198,-15.3775121969141,3.74531415266529e-30,1.82834867229442e-27,58.0326776718928
"208186_s_at",-4.58707156695305,6.53750669742149,-15.3633143087304,4.03230800884309e-30,1.95103044587164e-27,57.9597257747368
"240929_at",-3.10269517484728,3.16564651122314,-15.355558403618,4.19830828279529e-30,2.013530748788e-27,57.9198643317418
"214584_x_at",-2.31175030038065,2.76690991342975,-15.3247364194892,4.92867843206193e-30,2.34326515889553e-27,57.7613859602389
"222717_at",-5.03369738631561,4.04682802447107,-15.2738195168153,6.42542588708411e-30,3.02853586531313e-27,57.4993443597654
"1555740_a_at",-2.62694769419004,2.70662408157025,-15.2644833748211,6.74580079974217e-30,3.1523646044949e-27,57.4512638916413
"224207_x_at",-1.27280129677941,4.40848904843802,-15.2077376919754,9.06909285784201e-30,4.20214111866535e-27,57.1588122943171
"224339_s_at",-2.70347412227885,2.77271211252066,-15.1919185924428,9.84968440847267e-30,4.52547474817852e-27,57.0772192612624
